"","V1","V2"
"493",96655,-30065
"494",96665,-30065
"495",96675,-30065
"496",96685,-30065
"497",96695,-30065
"498",96705,-30065
"499",96715,-30065
"500",96725,-30065
"501",96735,-30065
"502",96745,-30065
"503",96755,-30065
"504",96765,-30065
"505",96775,-30065
"506",96785,-30065
"507",96795,-30065
"508",96805,-30065
"509",96815,-30065
"510",96825,-30065
"511",96835,-30065
"512",96845,-30065
"513",96855,-30065
"514",96865,-30065
"515",96875,-30065
"516",96885,-30065
"517",96895,-30065
"518",96905,-30065
"519",96915,-30065
"520",96925,-30065
"521",96935,-30065
"522",96945,-30065
"523",96955,-30065
"524",96965,-30065
"525",96975,-30065
"526",96985,-30065
"527",96995,-30065
"528",97005,-30065
"529",97015,-30065
"530",97025,-30065
"531",97035,-30065
"532",97045,-30065
"533",97055,-30065
"534",97065,-30065
"535",97075,-30065
"536",97085,-30065
"537",97095,-30065
"538",97105,-30065
"539",97115,-30065
"540",97125,-30065
"541",97135,-30065
"542",97145,-30065
"543",97155,-30065
"544",97165,-30065
"545",97175,-30065
"546",97185,-30065
"547",97195,-30065
"548",97205,-30065
"549",97215,-30065
"550",97225,-30065
"551",97235,-30065
"552",97245,-30065
"553",97255,-30065
"554",97265,-30065
"555",97275,-30065
"556",97285,-30065
"557",97295,-30065
"558",97305,-30065
"559",97315,-30065
"560",97325,-30065
"561",97335,-30065
"562",97345,-30065
"563",97355,-30065
"564",97365,-30065
"565",97375,-30065
"566",97385,-30065
"567",97395,-30065
"568",97405,-30065
"569",97415,-30065
"570",97425,-30065
"571",97435,-30065
"572",97445,-30065
"573",97455,-30065
"574",97465,-30065
"575",97475,-30065
"576",97485,-30065
"577",97495,-30065
"578",97505,-30065
"579",97515,-30065
"580",97525,-30065
"581",97535,-30065
"582",97545,-30065
"583",97555,-30065
"584",97565,-30065
"585",97575,-30065
"586",97585,-30065
"587",97595,-30065
"588",97605,-30065
"589",97615,-30065
"590",97625,-30065
"591",97635,-30065
"592",97645,-30065
"593",97655,-30065
"594",97665,-30065
"595",97675,-30065
"596",97685,-30065
"597",97695,-30065
"598",97705,-30065
"599",97715,-30065
"600",97725,-30065
"601",97735,-30065
"602",97745,-30065
"603",97755,-30065
"604",97765,-30065
"605",97775,-30065
"606",97785,-30065
"607",97795,-30065
"608",97805,-30065
"609",97815,-30065
"610",97825,-30065
"611",97835,-30065
"612",97845,-30065
"613",97855,-30065
"614",97865,-30065
"615",97875,-30065
